date,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,1;2;3;4;5;6,7;ferie,7;ferie,7;ferie,7;ferie,7;ferie
periode,ta;ete,ta;ete,ta;ete,ta;ete,ta;ete,ta;ete,ta;ete,ta;ete,ta;ete,ta;ete,ta;ete
EMBARQUEMENT VELOS,06:50,08:20,12:20,14:20,17:20,18:20,08:50,10:50,14:20,17:20,19:20
LE HAVRE / Gare Routière,07:00,08:30,12:30,14:30,17:30,18:30,09:00,11:00,14:30,17:30,19:30
SANDOUVILLE / Pont de Normandie,07:19,08:49,12:49,14:49,17:49,18:49,09:19,11:19,14:49,17:49,19:49
HONFLEUR / Gare Routière (Départ),07:28,08:58,12:58,14:58,17:58,18:58,09:28,11:28,14:58,17:58,19:58
HONFLEUR / Gare Routière (Arrivée),07:33,09:03,13:03,15:03,18:03,19:03,09:33,11:33,15:03,18:03,20:03
CAEN / Gare Routière,08:35,10:05,14:05,16:05,19:05,20:05,10:35,12:35,16:05,19:05,21:05
DEBARQUEMENT VELOS,08:45,10:15,14:15,16:15,19:15,20:15,10:45,12:45,16:15,19:15,21:15
